"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"6415/160.0967mz/9.20min",3.4977,2.8109,2.6425,2.5926,2.5499,2.5071,2.4757,2.4483
"14870/734.2557mz/22.31min",3.3985,2.7562,2.5911,2.5418,2.4984,2.4612,2.4161,2.3842
"2171/140.1071mz/1.62min",3.3311,2.7264,2.5637,2.5162,2.4853,2.4512,2.407,2.3755
"10467/635.1812mz/13.57min",3.2223,2.6079,2.4726,2.4248,2.3858,2.3881,2.3468,2.3159
"12841/556.3951mz/16.78min",3.2203,2.5973,2.444,2.3967,2.3547,2.3161,2.2852,2.257
"13288/570.4109mz/17.49min",3.1957,2.5831,2.4313,2.3856,2.347,2.3113,2.2706,2.2408
"7512/246.0971mz/10.39min",3.1925,2.5922,2.4396,2.3927,2.3596,2.3395,2.2989,2.2694
"6179/352.1597mz/8.76min",3.1855,2.5595,2.4064,2.3621,2.3229,2.2843,2.256,2.2263
"6418/142.0863mz/9.19min",3.1732,2.601,2.4511,2.4164,2.3781,2.3383,2.3016,2.2723
"7724/290.0868mz/10.62min",3.1628,2.5586,2.4066,2.3632,2.3284,2.2929,2.26,2.2299
"10479/773.2489mz/13.56min",3.1199,2.565,2.4113,2.365,2.3292,2.334,2.2932,2.2632
"12375/542.3797mz/16.08min",3.1152,2.5267,2.3762,2.3305,2.2934,2.2547,2.2168,2.1874
"15501/566.4004mz/24.08min",3.1109,2.5248,2.3823,2.3362,2.2956,2.2582,2.2176,2.1891
"15535/544.3874mz/24.16min",3.0839,2.4969,2.3495,2.3043,2.2657,2.2327,2.1917,2.164
"3277/248.2120mz/2.20min",3.0811,2.4771,2.3429,2.2994,2.2592,2.2233,2.2039,2.1749
"10461/617.1710mz/13.56min",3.0663,2.5313,2.38,2.3338,2.3024,2.3001,2.2593,2.2295
"15533/527.3608mz/24.17min",3.022,2.4312,2.2856,2.2414,2.2028,2.1668,2.1271,2.0992
"7752/256.0817mz/10.64min",3.0144,2.4213,2.2789,2.2362,2.2042,2.1669,2.1327,2.1153
"13208/570.4107mz/17.29min",3.0141,2.4485,2.3075,2.2648,2.2264,2.1953,2.1595,2.1309
"15511/544.3874mz/24.12min",3.0004,2.4298,2.2884,2.2441,2.207,2.1757,2.1358,2.1086
